,spearman_home_goals,spearman_away_goals,spearman_total_goals,spearman_goal_diff,rf_home_goals,rf_away_goals,rf_total_goals,rf_goal_diff,abs_spearman_mean,rf_importance_mean,abs_spearman_mean_z,rf_importance_mean_z,combined_score
away_goals_scored_5,-0.04481500027369886,0.0888708081659761,0.03732750186794045,-0.09110369610316629,0.005887653643599314,0.006410647569247592,0.006902773398859095,0.007411599302769539,0.06552925160269543,0.006653168478618885,-0.13132805523335622,0.19874714949152272,0.0674190942581665
home_ctx_shooting_standard_pkatt,0.12373172219462496,-0.08272327835204606,0.03008324875629946,0.16389070707393083,0.00010189730350914867,0.00038110995999746463,0.0006220704262599055,0.0005727563544575614,0.10010723909422532,0.00041945851105602003,0.5240762936895894,-0.49000779775400016,0.03406849593558925
away_ctx_playingtime_starts_mn_start,-0.10227554468161147,-0.10649431109962079,-0.14865330146787253,-0.012621552655888043,0.0012114819284630358,0.0010633069114717023,0.003801467037008434,0.0003644191556145811,0.09251117747624821,0.0016101687581394383,0.3800976477279532,-0.3584476870523351,0.021649960675618085
home_ctx_stats_performance_pkatt,0.12373172219462496,-0.08272327835204606,0.03008324875629946,0.16389070707393083,0.00019369499806546917,0.00043224563821152794,0.00021867497980597315,0.0002149060917982162,0.10010723909422532,0.0002648804269702966,0.5240762936895894,-0.5070869401433277,0.016989353546261743
away_ctx_keepers_performance_cs_2,-0.1318889314966783,0.008078567845322132,-0.0954099592736181,-0.10979637675755197,0.004347334617623846,0.0010365402277689477,0.003835819351954785,0.001037554975837326,0.08629345884329262,0.002564312293296226,0.26224463984493074,-0.253025541389293,0.009219098455637731
home_ctx_keepers_performance_cs_2,0.08813157854807739,-0.12706385452956778,-0.01007691994618733,0.15360012772194126,0.0007540878667084281,0.0009602831093471906,0.001806411033856006,0.0007483922310445571,0.09471812018644343,0.0010672935602390455,0.4219288806890981,-0.41842929996606054,0.0034995807230375764
away_ctx_stats_poss,-0.025266166256734928,0.12103413488095222,0.07774716988359855,-0.08920946654788817,0.003409931127322435,0.0033664704746801844,0.004097849253761435,0.0037265314317541176,0.07831423439229346,0.003650195571879543,0.11100337956342406,-0.13304763350663762,-0.022044253943213563
away_ctx_keepers_performance_cs,-0.1318889314966783,0.008078567845322132,-0.0954099592736181,-0.10979637675755197,0.003244582096122384,0.0015427629334232925,0.0021575987020603592,0.001560923355736393,0.08629345884329262,0.002126466771835607,0.26224463984493074,-0.3014025545330723,-0.03915791468814156
home_ctx_keepers_performance_cs,0.08813157854807739,-0.12706385452956778,-0.01007691994618733,0.15360012772194126,0.0006141327200363389,0.0004494468221472151,0.0009010303387005469,0.000386431581924962,0.09471812018644343,0.0005877603657022657,0.4219288806890981,-0.4714123328348136,-0.04948345214571548
away_ctx_keepers_performance_sota,0.10510606359438703,-0.07549275014853528,0.027671203135561973,0.13197984093288817,0.0022933410416635736,0.0018396932392757987,0.0014955385902906844,0.0031823973313304934,0.08506246445284311,0.0022027425506401374,0.2389119031667771,-0.29297493754736187,-0.05406303438058477
home_ctx_stats_performance_pk,0.12792650212242265,-0.04979550250044408,0.04884955265069203,0.14999474518218897,0.00043601553452037966,0.0004690463169114229,0.00023059668701345888,0.00043931133925638406,0.09414157561393693,0.0003937424694254114,0.41100083520174174,-0.49284913156465515,-0.08184829636291341
home_ctx_shooting_standard_pk,0.12792650212242265,-0.04979550250044408,0.04884955265069203,0.14999474518218897,0.0005040799840099446,0.0004373814293710487,0.00024346914323871457,0.00035970008005915724,0.09414157561393693,0.00038615765916971624,0.41100083520174174,-0.49368716792096823,-0.08268633271922649
away_ctx_misc_performance_crdr,0.033854559722601624,0.12916454565992713,0.09936415627547147,-0.05987162770927836,0.0008360506243373063,0.0007698052566999955,0.007080171251787692,0.0007025867996145686,0.08056372234181965,0.0023471534831098905,0.15364103120033235,-0.277019151235127,-0.12337812003479465
away_ctx_stats_performance_crdr,0.033854559722601624,0.12916454565992713,0.09936415627547147,-0.05987162770927836,0.0013973771826736147,0.00034682104366709737,0.006369088536464872,0.000559679492935391,0.08056372234181965,0.0021682415639352436,0.15364103120033235,-0.2967869091343457,-0.14314587793401334
away_ctx_playingtime_subs_mn_sub,0.07662214658999997,0.10032598653006602,0.13202107289540826,-0.004800609314405813,0.0015585311365932941,0.0018006263862714294,0.004086120038808799,0.0012266141447341075,0.07844245383247002,0.002167972926601908,0.11343369968337808,-0.296816590542899,-0.18338289085952092
home_ctx_misc_performance_crs,0.10302946015472449,-0.02002499768763862,0.05485699564563335,0.0837205712660108,0.006462941919928492,0.002010292100836849,0.004269393351412576,0.003067051573428421,0.06540800618850182,0.003952419736401584,-0.1336261870077669,-0.09965525728527769,-0.2332814442930446
home_ctx_misc_performance_og,-0.04668271544639044,0.11540475633125619,0.045335651575937275,-0.11325351027456107,0.0009604884958974779,0.001308709758901341,0.001132398424293059,0.0015064290301005988,0.08016915840703624,0.0012270064272981193,0.14616231605392488,-0.4007828217214671,-0.25462050566754224
home_ctx_stats_performance_crdy,-0.0850159238382556,0.09232346460840501,-0.014956272891552908,-0.12650515725322492,0.0016040289860305612,0.0005308973999348672,0.0021817750656970454,0.0008389337805215988,0.07970020464785961,0.0012889088080460182,0.13727358783388555,-0.39394330380865983,-0.2566697159747743
away_ctx_playingtime_age,-0.00528776339083508,-0.11427085644172631,-0.0957587115388212,0.07830728987806879,0.0014638008445586068,0.002347159667124412,0.00338266282629655,0.0012788118646326753,0.07340615531236284,0.002118108800653061,0.017973778733351896,-0.3023260164892539,-0.284352237755902
home_ctx_misc_performance_crdy,-0.0850159238382556,0.09232346460840501,-0.014956272891552908,-0.12650515725322492,0.0007333528383687888,0.0005652373046713736,0.0016036970964322225,0.00036733368074158074,0.07970020464785961,0.0008174052300534914,0.13727358783388555,-0.44603915422136087,-0.3087655663874753
away_ctx_stats_age,-0.00528776339083508,-0.11427085644172631,-0.0957587115388212,0.07830728987806879,0.0007725798039958159,0.002141473809994808,0.0023765611814627963,0.002131458935448715,0.07340615531236284,0.0018555184327255338,0.017973778733351896,-0.33133930327195865,-0.3133655245386068
home_ctx_keepers_penalty_kicks_pkatt,-0.09426488659610467,0.06428968856574721,-0.01888681422151656,-0.13498112126184336,0.0006461465767340904,0.001002418697992547,0.0015777304661112198,0.0004782345466121843,0.07810562766130295,0.0009261325718625103,0.10704936810630075,-0.4340260039526623,-0.3269766358463615
home_ctx_keepers_penalty_kicks_pka,-0.08925680037246603,0.07863871168807697,-0.004729781070307098,-0.13797269157896971,0.00047956314673062696,0.0007920416147614306,0.0014461855803311928,0.0007124679128756443,0.07764949617745495,0.0008575645636747238,0.09840367817805126,-0.4416019988430009,-0.3431983206649496
home_ctx_misc_performance_pkcon,-0.09426488659610467,0.06428968856574721,-0.01888681422151656,-0.13498112126184336,0.0008275668252620749,0.0005665491797051344,0.0012028568386017037,0.00047003978457742067,0.07810562766130295,0.0007667531570365834,0.10704936810630075,-0.4516356394701405,-0.3445862713638398
away_ctx_misc_performance_fls,0.08979988835054574,0.015200425124865719,0.06883211922456384,0.050486847627058136,0.004428894547027647,0.002099324480485578,0.008877926691221064,0.0025112195078077796,0.05607982008175835,0.004479341306635518,-0.3104361804586543,-0.041436341070462464,-0.35187252152911674
away_ctx_keepers_performance_ga,0.10160280671713356,-0.04637886534350966,0.04863171767649979,0.1109609543920596,0.0006041511533693565,0.0006114186987539761,0.0009627575827402319,0.0008814899586001007,0.07689358603230065,0.0007649543483659163,0.08407586928950725,-0.4518343876277413,-0.36775851833823403
away_ctx_keepers_performance_ga90,0.10160280671713356,-0.04637886534350966,0.04863171767649979,0.1109609543920596,0.0005538014148613672,0.00096655236420589,0.0008686740253196311,0.0005803904225831694,0.07689358603230065,0.0007423545567425145,0.08407586928950725,-0.45433141080789113,-0.3702555415183839
away_ctx_keepers_performance_saves,0.08852209730321374,-0.056263784990932625,0.02601246622159721,0.10666024768595915,0.0021935368381868904,0.0014237787574049824,0.002506908614750949,0.001736560572255399,0.06936464905042568,0.0019651961956495554,-0.05863047074536004,-0.3192211421432215,-0.37785161288858155
away_ctx_playingtime_team_success_onga,0.10160280671713356,-0.04637886534350966,0.04863171767649979,0.1109609543920596,0.0006468065660378519,0.00040715807884487504,0.00076193026518721,0.0004775527385716282,0.07689358603230065,0.0005733619121603914,0.08407586928950725,-0.4730032002574647,-0.3889273309679574
away_ctx_playingtime_subs_unsub,-0.10044690074311367,-0.022300286636525307,-0.08724853414807733,-0.06555809454218445,0.002364883063180853,0.0009200469255520362,0.0015243190664854373,0.0011069751497885915,0.06888845401747519,0.0014790560512517295,-0.06765645282739147,-0.3729341687759895,-0.44059062160338097
away_ctx_keepers_performance_l,0.08737550985029874,-0.06411527667906099,0.019909117155530055,0.10935252949326309,0.001818838426774966,0.0006682813460875425,0.0011095217625600913,0.0013262743817915386,0.07018810829453821,0.0012307289793035345,-0.043022310499354996,-0.4003715215288932,-0.4433938320282482
away_ctx_playingtime_starts_compl,-0.09529306976163338,-0.0334330846967129,-0.08932181239602478,-0.05516364608637317,0.0027690542412830647,0.0009045090236019703,0.0010521049047988473,0.0010868798401195315,0.06830290323518606,0.0014531370024508535,-0.07875520544628041,-0.3757979325992013,-0.4545531380454817
away_ctx_misc_performance_crdy,0.09577331017743616,-0.011752491500057582,0.07564653768499989,0.08410885742241116,0.0018849174871849162,0.0019952309905247865,0.0014636224189826731,0.0014409817227137352,0.0668202991962262,0.0016961881548515278,-0.10685704726408554,-0.34894350970805454,-0.45580055697214006
